General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
দুর্বলতা,Weakness,বিশেষ্য,বিশেষ্য,বিশেষ্য,দুর্বলতা,দুর্বলতা,দুর্বলতা,দুর্বলতা,দুর্বল
দুর্যোগপ্রবণ,disaster prone,বিশেষ্য,বিশেষণ,বিশেষণ,দুর্যোগপোরবণ,দু্র্যোগওয়ারলাকান,দূর্যোগফ্রবন,দুর্যোগপ্রবণ,দুর্বলতা
দুশ্চিন্তার,worry,বিশেষ্য,বিশেষ্য,বিশেষ্য,চিন্তার,চিন্তার,দুচ্চিন্তার,দুশ্চিন্তার,দুর্যোগ প্রভন
দুষ্টু,mischievous,বিশেষণ,বিশেষণ,বিশেষ্য,দুষ্টু,দুষ্টা,যারগো,দুষ্ট,দুশচিন্তার
দূবল,weak,বিশেষণ,বিশেষণ,বিশেষ্য,দূর্বল,দুর্বল,দুর্বল,দূর্বল,দুইষ্ট
দূর,away,বিশেষণ,অব্যয়,বিশেষ্য,দূর,দূরই,ওজ্ঞা,দূর,দুর্বল
দূরে,away,বিশেষণ,অব্যয়,অব্যয়,দূরে,দুরই,দুরে,দূরে,দূরির
দৃশ্যে,in the scene,অব্যয়,বিশেষ্য,বিশেষ্য,দৃশ্যে,দৃশ্যয়,দৃশ্যে,দৃশ্যে,দূরে
দেই,give,ক্রিয়া,ক্রিয়া,ক্রিয়া,দিমু,দিলাই,দিয়ির,দেই,দৃশ্য
দেওয়া,to give,ক্রিয়া,বিশেষ্য,ক্রিয়া,দেওন,দিলাইছি,দিয়্যি,দেওয়ন,দি
দেওয়াতেই,to give,ক্রিয়া,অব্যয়,বিশেষ্য,দেওয়াতেই,দেওয়াতেই,দিয়ায়,দেওয়াতেই,দেয়ন
দেওয়ার,to give,ক্রিয়া,বিশেষ্য,ক্রিয়া,দেওয়ার,দিবার,দিবর,দেওনের,দিতেই
দেওয়া,to give,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেওয়া,দেওয়া,দন,দেওয়া,দিবার
দেওয়ারও,to give,ক্রিয়া,অব্যয়,বিশেষ্য,দেওয়ার নিয়ম  ,দেওয়ারও,দিবেরো,দেওয়া,দেন
দেখছি,I see,সর্বনাম,ক্রিয়া,ক্রিয়া,দেখলাম,দেখলাম,দেহির,দেখতাসি,দেয়নেরও 
দেখছিলাম,I was watching,সর্বনাম,ক্রিয়া,ক্রিয়া,দ্যাখতেয়াছেলাম,দেখছিলাম,দেইক্কিলাম,দেখতাসিলাম,দেইকলাম
দেখছেন,watching,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেখছেন,দেখিয়ার,দেহন,দেখছেন,দেখসিলাম
দেখছো,you see,সর্বনাম,ক্রিয়া,বিশেষ্য,দ্যাখছো,দেখছো,দেইখ্খুস,দেখতাসো,দেখসেন
দেখত,used to see,ক্রিয়া,ক্রিয়া,ক্রিয়া,দ্যাখতে,দেখতো,দেহিত,দেখত,দেইকছো
দেখতে,to see,ক্রিয়া,ক্রিয়া,ক্রিয়া,দ্যাখতে,দেখতে,দেইক্কে,দেখতে,দেইখতো
দেখতেও,to see,ক্রিয়া,অব্যয়,বিশেষ্য,দ্যাখতেও,দেখতেও,দেহিতও,দেখতেও,দেখতে
দেখবে,will see,ক্রিয়া,ক্রিয়া,বিশেষ্য,দ্যাখবে,দেখবা,দেইবো,দেখব,দেখতেও
দেখবেন,you will see,সর্বনাম,ক্রিয়া,বিশেষ্য,দ্যাখবেন,দেখবা,দেখিবান,দেখবেন,দেইকবা
দেখবো,I will see,সর্বনাম,ক্রিয়া,ক্রিয়া,দেখমু,দেখতাম,চাইয়্যুম,দেখবো,চাইবেন
দেখভালের,of care,অব্যয়,বিশেষ্য,বিশেষ্য,দেইখা শুইন্যার  ,দেখভালের,দেখভালের,দেহাহুনার,দেইয়ুম
দেখল,saw,বিশেষ্য,ক্রিয়া,বিশেষ্য,দেখলো,দেখলা,দেইক্কে,দেখল,দেখভালের
দেখলাম,i saw,বিশেষ্য,ক্রিয়া,ক্রিয়া,দেখলাম,দেখলাম,দেইলাম,দেখলাম,দেইকল
দেখলে,If you see,অব্যয়,ক্রিয়া,বিশেষ্য,দেখলে,দেখলে,দেইলে,দেখলে,দেইকছি
দেখা,see,ক্রিয়া,বিশেষ্য,বিশেষ্য,দেহা,দেখা,দেহা,দেখা,দেখলে
দেখা যায়,can be seen,ক্রিয়া,অব্যয়,বিশেষ্য,যায়,দেখা যায়,দেহা যায়,দেহুন যায়,দেয়া
দেখাতে,to show,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেখাইতে  ,দেখাত,দেহাইতে,দেহাইতে,দেখা যায়
দেখানো,to show,ক্রিয়া,ক্রিয়া,ক্রিয়া,দ্যাহাইন্না,দেখানি,দেহানো,দেহানু,দেয়াইতে
দেখানোর,to show,ক্রিয়া,বিশেষ্য,বিশেষ্য,দ্যাহাইন্নার,দেখানির,দেহাইবর,দেহানুর,দেয়ানি
দেখাবো,will show,ক্রিয়া,ক্রিয়া,ক্রিয়া,দ্যাহামু,দেখাইতাম,দেহাইয়ুম,দেহায়াম,দেখাইবার
দেখার,to see,ক্রিয়া,বিশেষ্য,ক্রিয়া,দেহার,দেইখ্খার,দেহার,দেহার,দেয়াইয়ুম
দেখাশোনা,look after,বিশেষ্য,ক্রিয়া,বিশেষ্য,দ্যাহাশুনা,দেখাশুনা,দেহাশুনা,দেহাহুনার,দেখবার
দেখি,let's see,বিশেষ্য,ক্রিয়া,বিশেষ্য,দেহি,দেখি,অত্তে,দেখি,দেয়াশোনা
দেখিনি,did not see,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেহিনাই,দেখছি না,চাইনো‌,দেহিনাই,সাই
দেখে,see,বিশেষ্য,ক্রিয়া,ক্রিয়া,দ্যাহে,দেখিয়া,দেহে,দেহে ,দেই
দেখেই,by seeing,অব্যয়,অব্যয়,বিশেষ্য,দ্যাইকখাই,জানিয়াউ,দেহিয়্য্যেরে,দেইক্ষাই,দেয়ের
দেখেও,see also,বিশেষ্য,অব্যয়,বিশেষ্য,দ্যাইখাও,দেখিয়াও,দেহিয়েরেও,দেইক্ষাও,দেই ই
দেখেছি,saw,বিশেষ্য,ক্রিয়া,বিশেষ্য,দেখেছি,দেখছি,চাই দেইক্কি,দেখছি,দেই ও
দেখেছো,have you seen,ক্রিয়া,ক্রিয়া,বিশেষ্য,দ্যাখছো,দেখছো,দেইখ্খুস,দেখসো,দেখি আসছি
দেখেন,see,ক্রিয়া,ক্রিয়া,ক্রিয়া,দেহেন,দেখরা,মানুষ,দেহেন,দেইকছো
দেখেনি,did not see,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেহেনাই,দেখছেনা,ন দেহে,দেখছিনা ,সায়
দেখো,look,বিশেষ্য,ক্রিয়া,ক্রিয়া,দ্যাহো,দেখো,চ,দেহো,দেখেনো
দেড়,one and a half,বিশেষণ,বিশেষ্য,বিশেষ্য,দ্যাড়,দেড়,দেড়,দেড় ,দেখো
দেন,give,ক্রিয়া,ক্রিয়া,বিশেষ্য,দ্যান,দেইন,দেতোক,দেন,দেড়
দেব,will give,বিশেষ্য,ক্রিয়া,বিশেষ্য,দিমু,দিমু,দিয়্যুম,দিমু,দেন
দেবে,will give,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেবে,দিবা,দিবো,দিব,দিয়ুম
দেবেন,will give,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেবেন,দিবা,দিবান,দিবেন,দিবা
দেয়,Gives,বিশেষ্য,ক্রিয়া,বিশেষ্য,দ্যায়,মারইন,দে,দেয়,দিবেন
দেয়না,doesn't give,ক্রিয়া,ক্রিয়া,বিশেষ্য,দ্যায় না,দেয়না,দেনো,দেয়না,দেয়
দেয়া,given,ক্রিয়া,বিশেষ্য,বিশেষ্য,দেওয়া,দেওয়া,দেয়া,দেয়া,দেয়না
দের,of,অব্যয়,বিশেষ্য,বিশেষ্য,গো,ওকলতোর,দের,দের,দেয়া
দেশ,the country,সর্বনাম,বিশেষ্য,বিশেষ্য,দেশ,দেশ,দেশ,দেশ,গুনের
দেশীয়,domestic,বিশেষণ,বিশেষণ,বিশেষণ,দেশি,দেশি,দেশি,দেশী,দেশ
দেশে,in the country,অব্যয়,অব্যয়,বিশেষ্য,দেশে,দেশো,দেশ অত,দেশে,দেশি
দেশের,of the country,অব্যয়,বিশেষ্য,বিশেষ্য,দেশের,দেশর,দেশর,দেশের,দেশে
দেড়,one and a half,বিশেষণ,বিশেষ্য,বিশেষ্য,দ্যাড়,দেড়,দেড়,দেড়,দেশের
দেয়,gives,ক্রিয়া,ক্রিয়া,বিশেষ্য,দ্যায়,দেইন,দিয়ে,দেয়,দেড়
দেয়না,doesn't give,ক্রিয়া,ক্রিয়া,বিশেষ্য,দ্যায়না,দেয়না,দেয়নো,দেয়না,দেয়
দেয়া,Given,ক্রিয়া,ক্রিয়া,বিশেষ্য,দেওয়া,দেওয়া,দিয়ি,দেয়া,দেয়না
দেয়ালে,on the wall,অব্যয়,বিশেষ্য,বিশেষ্য,দেয়ালে,দেওয়ালো,দেয়ালত,দেয়ালে,দেন
দোকান,shop,বিশেষ্য,বিশেষ্য,বিশেষ্য,দোকান,দোকান,দোয়ান,দোকান,দেয়ালে
দোকানে,in the shop,অব্যয়,বিশেষ্য,বিশেষ্য,দোকানে,দোখানো,দোয়ানঅত,দোকানে,দোয়ান
দোতলা,two story,বিশেষণ,বিশেষ্য,বিশেষ্য,দোতালা,দুইতালা,দোতালা,দুইতালা,দোয়ানে
দোয়া,prayer,বিশেষ্য,বিশেষ্য,বিশেষ্য,দোয়া,দোয়া,দোয়া,দুয়া,দোতলা
দোষ,blame,বিশেষ্য,বিশেষ্য,বিশেষ্য,দোষ,দোষ,দুষ,দোষ,দোয়া
দৌড়াচ্ছে,is running,ক্রিয়া,ক্রিয়া,বিশেষ্য,দৌড়াইতেয়াছে,দৌড়ার,দুরের,দৌড়াইতাসে,দোষ
দ্বিতীয়,the second,সর্বনাম,বিশেষণ,বিশেষ্য,দুইনাম্বার,২ লম্বর,দুইনাম্বার,দুইনাম্বার,দৌড়ার
দ্বিতীয়,the second,সর্বনাম,বিশেষণ,বিশেষ্য,দুইনাম্বার,দুইনাম্বার,দ্বিতীয়,দ্বিতীয়,দুইনাম্বার
দ্বিধাদ্বন্দ্বে,in dilemma,অব্যয়,বিশেষ্য,বিশেষ্য,দোটানায়  ,দ্বিধাদ্বন্দ্বে,মন কষাকষিত,দ্বিধাদ্বন্দ্বে,দ্বিতীয়
দ্রুত,quickly,বিশেষণ,বিশেষণ,অব্যয়,তাড়াতাড়ি  ,দ্রুত,তাড়াতাড়ি,তাড়াতাড়ি ,দ্বিধাদ্বন্দ্বে
দয়া,kindness,বিশেষ্য,বিশেষ্য,বিশেষ্য,দয়া,দয়া,দয়া,দয়া,দ্রুত
ধনী,the rich,সর্বনাম,বিশেষ্য,বিশেষ্য,টাহা ওয়ালা,ফয়সাআলা,ধনী,ধনী,দয়া
ধন্যবাদ,thank you,বিশেষ্য,বিশেষ্য,বিশেষ্য,ধন্যবাদ,ধন্যবাদ,দইন্যবাদ,ধন্যবাদ,ধনী
ধরছে,catching up,ক্রিয়া,ক্রিয়া,ক্রিয়া,ধরতেয়াছে,মারছে,মাচদরের,ধরতাসে,ধন্যবাদ
ধরণ,type,বিশেষ্য,বিশেষ্য,বিশেষ্য,ধরন,ধরন,দরন,ধরণ,ধরের
ধরতে,to catch,ক্রিয়া,ক্রিয়া,ক্রিয়া,ধরা লাগে,ছইতে,ধরিবারলাই,ধরার জন্য ,ধরন
ধরন,type,বিশেষ্য,বিশেষ্য,বিশেষ্য,ধরণ  ,ধরন,কিরম,ধরন,ধইত্তে
ধরনের,Kind,ক্রিয়া,বিশেষ্য,বিশেষ্য,রহমের,ধরনের,দরনঅর,জাতের,ধরন
ধরলে,if caught,অব্যয়,ক্রিয়া,বিশেষ্য,ধরলে,ধরলে,দইরলে,ধরলে,ধরনের
ধরা,caught,বিশেষ্য,ক্রিয়া,ক্রিয়া,ধরা,দরা,দরা,ধরা,ধইরলে
ধরি,catch up,ক্রিয়া,ক্রিয়া,ক্রিয়া,ধরি,ধরি,দরি,ধরি,ধরা
ধরুন,take,ক্রিয়া,ক্রিয়া,বিশেষ্য,ধরেন,ধরোউকা,ধইজ্জো,ধরেন,ধরি
ধরে,by holding,অব্যয়,ক্রিয়া,ক্রিয়া, ধইর্রা,ধরিয়া,অর দাই,ধইরা,ধরেন
ধরেই,by holding,অব্যয়,অব্যয়,বিশেষ্য,ধইররাই,ধরি,ধরি,ধইরাই,ধরি
ধানখেত,paddy field,বিশেষণ,বিশেষ্য,বিশেষ্য,কোলা,ধানক্ষেত,ধান কেত,ধানখেত,ধরি
ধার,Borrow,ক্রিয়া,বিশেষ্য,বিশেষ্য,ধার,ধার,দার,ধার,ধানখেত
ধারণা,idea,বিশেষ্য,বিশেষ্য,বিশেষ্য,মনে হয়,ধারনা,দারোনা,ধারণা,ধার
ধারণাটিকে,the concept,সর্বনাম,বিশেষ্য,বিশেষ্য,ভাবনাটারে  ,ধারণাটারে,ধারনাগোরে,ধারণাটাকে ,ধারনা
ধারনা,ideas,বিশেষ্য,বিশেষ্য,বিশেষ্য,ধারণা,ধারণা,ধারনা,ধারনা,ধারণাটিকে
ধারে,on the edge,অব্যয়,বিশেষ্য,বিশেষ্য,ধারে,কান্দাত,দারোত,ধারে,ধারনা
ধিরে,slowly,বিশেষণ,বিশেষণ,বিশেষ্য,আস্তে,আস্তে,ধিরে,ধিরে,ধারে
ধুতি,dhoti,বিশেষ্য,বিশেষ্য,বিশেষ্য,ধুতি,ধুতি,ধুতি,ধুতি,ধীরে
ধুতে,to wash,ক্রিয়া,ক্রিয়া,বিশেষ্য,ধুইতে,ধুয়া,দুইতো,ধুইতে,ধুতি
ধুয়ে,wash,বিশেষ্য,ক্রিয়া,বিশেষ্য,ধুইয়া,ধইয়া,দুইয়েরে,ধুয়া,ধুইতাম
ধূসর,gray,বিশেষ্য,বিশেষণ,বিশেষণ,ছাই রঙ  ,ধূসর,ধুসর,ময়লা ,ধুই
নই,not,বিশেষণ,ক্রিয়া,অব্যয়,না,নায়,নো,না,ধূসর
নজরে,in sight,অব্যয়,বিশেষ্য,বিশেষ্য,নজরে,নজরো,নজরত,নজরে,ন
নতুন,new,বিশেষণ,বিশেষণ,বিশেষণ,নতুন,গুতা,নতুন,নয়া,নজরে
নতুনরা,the newcomers,সর্বনাম,বিশেষ্য,বিশেষ্য,নতুনরা,নয়া,নতুনরা,নতুনরা,নতুন
নদী,the river,সর্বনাম,বিশেষ্য,বিশেষ্য,নদী,গাঙ,নদি,নদী,নতুনগুন
নদীর,of the river,অব্যয়,বিশেষ্য,বিশেষ্য,নদীর,নদীর,নদির,নদীর,নদী
নবনির্বাচিত,newly elected,বিশেষণ,বিশেষণ,বিশেষণ,নতুনভাবে জিতা  ,নবনির্বাচিত,নবনির্বাচিত,নবনির্বাচিত,নদীর
নম্বর,Number,বিশেষ্য,বিশেষ্য,বিশেষ্য,নাম্বার,নাম্বার,নাম্বার,নম্বর,নবনির্বাচিত
নয়,not,বিশেষণ,বিশেষণ,বিশেষ্য,না,নায়,নয়,না,নম্বর
নষ্ট,wasted,বিশেষণ,বিশেষণ,বিশেষ্য,নষ্ট,নষ্ট,হারাফ,নষ্ট,ন
না,no,সর্বনাম,অব্যয়,অব্যয়,না,নায়,ন,না ,নষ্ট
না হলে,If not,অব্যয়,অব্যয়,বিশেষ্য,নাইলে,না ওইলে,ন অইলে,না ওইলে,ন
না হয়,Or not,অব্যয়,অব্যয়,বিশেষ্য,তও,না ওইলে,ন অইবু,না অয়,নাইলে
নাই,no,সর্বনাম,অব্যয়,বিশেষ্য,নাই,না,ন ,নাই,নইলে
নাইনে,in the nine,অব্যয়,অব্যয়,বিশেষ্য,নাইনে,নাইনো,নাইনত,নাইনে,ন
নাও,Take,ক্রিয়া,ক্রিয়া,অব্যয়,লও,যাও,লো,নেও,নাইনে
নাকি,or,অব্যয়,অব্যয়,অব্যয়,কি,কিনা,নে,নাকিতা,নাও
নাচতে,to dance,ক্রিয়া,ক্রিয়া,বিশেষ্য,নাচতে,নাচতে,নাচিত অত,নাচতে,কি
নাচবা,will dance,ক্রিয়া,ক্রিয়া,বিশেষ্য,নাচবা,নাচবায়,নাচিবি,নাচবা,নাইচতো
নাচবো,i will dance,বিশেষ্য,ক্রিয়া,বিশেষ্য,নাচমু,নাচমু,নাইচ্চুম,নাচবাম,নাইচবা
নাটক,drama,বিশেষ্য,বিশেষ্য,বিশেষ্য,নাটক,নাটক,নাটক,নাটক,নাচমু
নানা,Nana,বিশেষ্য,বিশেষণ,বিশেষ্য,ম্যালা,নানা,নানা,নানা,নাটক
নানাকে,Nana,বিশেষ্য,বিশেষ্য,বিশেষ্য,নানারে,নানারে,নানারে,নানাকে,নানা
নানান,various,বিশেষণ,বিশেষ্য,বিশেষ্য,বিভিন্ন,নানান,বোত,নানান,নানারে
নানার,Nana's,বিশেষণ,বিশেষ্য,বিশেষ্য,নানার,নানার,নানার,নানার,নানান
নানি,nanny,বিশেষ্য,বিশেষ্য,বিশেষ্য,নানি,নানী,নানি,নানি,নানার
নাম,name,বিশেষ্য,বিশেষ্য,বিশেষ্য,নাম,নাম,নাম,নাম,নানি
নামক,named,বিশেষণ,বিশেষ্য,বিশেষ্য,নামের,নাম ওর,নামর,নামের,নাম
নামটি,the name,সর্বনাম,বিশেষ্য,বিশেষ্য,নামডা,নাম অগু,নাম,নামডা,নামে
নামতো,nomto,বিশেষ্য,অব্যয়,বিশেষ্য,নামতে,নামতো,নামিতো,নামতো,নামটি
নামাজ,prayer,বিশেষ্য,বিশেষ্য,বিশেষ্য,নামাজ,নামাজ,নোয়ায,নামাজ,নাইমত
নামাতে,To lower,ক্রিয়া,ক্রিয়া,বিশেষ্য,নুয়ে যায়  ,লামানিত,নামাইতে,নামাইতে ,নামাজ
নামে,In the name,অব্যয়,বিশেষ্য,বিশেষ্য,নামে,নামে,নামঅত,নামে,নামাইতে
নামের,Name,বিশেষ্য,বিশেষ্য,বিশেষ্য,নামের,নামওর,নামর,নামের,নামি
নারিকেল,coconut,বিশেষ্য,বিশেষ্য,বিশেষ্য,নাহোইল,নাইকলের,নারিকেল,নাইরকেল,নামের
নারী,woman,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাতারি,বেটিয়াইন,নারি,বেডি,নাইরকেলের
নারীকে,to the woman,বিশেষ্য,বিশেষ্য,বিশেষ্য,বেডিরে,বেটিরে,নারিরে,বেডিরে,বেডি
নাশতা,Breakfast,বিশেষ্য,বিশেষ্য,বিশেষ্য,নাস্তা,নাস্তা,নাস্তা,নাশতা,বেডিরে
নাস্তা,the breakfast,সর্বনাম,বিশেষ্য,বিশেষ্য,নাস্তা,নাস্তা,নাস্তা,নাস্তা,নাশতা
নিঃসঙ্গতা,Loneliness,বিশেষ্য,বিশেষ্য,বিশেষ্য,একলা থাহা,একলা,হাইল্লাগা,এল্লা ,নাস্তা
নিখুঁত,perfect,বিশেষ্য,বিশেষণ,বিশেষণ,নিখুঁত,ঠিক,নিখুদ,নিখুঁত,একলা
নিচে,down,বিশেষণ,অব্যয়,বিশেষ্য,তলে,নিছে,তলে,নিচে,নিখুঁত
নিচ্ছি,taking,ক্রিয়া,ক্রিয়া,ক্রিয়া,নেতেয়াছি,লইয়ার,লইর,নিতাসি,নিচে
নিছিলাম,I took,সর্বনাম,ক্রিয়া,ক্রিয়া,নেল্লাহম,রাখছিলাম,হইলাম,নিসিলাম,লইয়ের
নিজ,own,বিশেষণ,বিশেষ্য,বিশেষ্য,নিজের,নিজর,আরে,নিজ,নিছিলাম
নিজে,Himself,সর্বনাম,অব্যয়,বিশেষ্য,নিজে,নিজে,নিজে,নিজে,নিজ
নিজেই,himself,সর্বনাম,অব্যয়,বিশেষ্য,নিজেই,নিজেউ,নিজেই,নিজেই,নিজে
নিজেও,myself,সর্বনাম,অব্যয়,বিশেষ্য,নিজেও,নিজেও,নিজেরাও,নিজেও,নিজেই
নিজেকে,myself,সর্বনাম,সর্বনাম,বিশেষ্য,মোরে,নিজরে,নিযেরে,নিজেরে,নিজেও
নিজেকেই,myself,সর্বনাম,সর্বনাম,বিশেষ্য,নিজেরেই,নিজোরেউ,নিজেরে,নিজেরেই,নিজেরে
নিজেদের,Ourselves,বিশেষ্য,সর্বনাম,বিশেষ্য,মোর,নিজরার,নিজরার,নিজেরার,নিজেরেই
নিজেদেরই,themselves,সর্বনাম,সর্বনাম,বিশেষ্য,নিজগোই  ,নিজেরারউ,নিজেগুনই,আংগর ,নিজদের
নিজের,own,বিশেষণ,সর্বনাম,বিশেষ্য,নিজের,নিজর,নিযর,নিজের,নিজেদেরই
নিজেরা,themselves,সর্বনাম,বিশেষ্য,বিশেষ্য,নিজেরা  ,নিজেরা,নিজেগুনই,নিজেরা ,নিজের
নিজেরাই,themselves,সর্বনাম,বিশেষ্য,বিশেষ্য,নিজগোই  ,নিজেরাউ,নিজেগুনই,নিজেরাই ,নিজেরা
নিত,taken,ক্রিয়া,ক্রিয়া,বিশেষ্য,নিত  ,নিলোঅনে,লইত,লইতে ,নিজেরাই
নিতে,to take,ক্রিয়া,ক্রিয়া,ক্রিয়া,লইতে,নিতে,লইত,নিতে,নিত
নিন,take,ক্রিয়া,ক্রিয়া,বিশেষ্য,নেন,লউকা,লো,নেন,লইতা
নিবে,will take,ক্রিয়া,ক্রিয়া,বিশেষ্য,নেবে,লইবো,লবি,নিব,নেন
নিবো,will take,ক্রিয়া,ক্রিয়া,বিশেষ্য,লমু,নিমু,লইউম,নিমু,লইব
নিম্নগামী,downward,বিশেষ্য,বিশেষণ,বিশেষ্য,নিচে নামা  ,নিছর দিকে,কমিয়া গইসে,নিচের দিকে ,নিয়ুম
নিম্নমানের,low quality,বিশেষণ,বিশেষণ,বিশেষ্য,খারাপ মান  ,নিম্নমানর,নিম্মমানর,খারাপমানের ,হন্দুইত্তোই
নিয়মিত,regular,বিশেষণ,বিশেষণ,বিশেষ্য,নিয়মিত,নিয়মিত,নিয়মিত,নিয়মিত,নিম্নমানের
নিয়ে,with,অব্যয়,ক্রিয়া,বিশেষ্য,লইয়া,নিয়া,লই,নিয়া,নিয়মিত
নিয়েছি,took,ক্রিয়া,ক্রিয়া,বিশেষ্য,নিছি,নিছি,লইয়ি,নিসি,লই
নিয়েছিলাম,I took,সর্বনাম,ক্রিয়া,বিশেষ্য,নেল্লাম,লইছলাম,লইল্লামদে,নিসিলাম,নিছি
নিয়েছে,took,ক্রিয়া,ক্রিয়া,বিশেষ্য,নেছে,নিছে,ফেলাইয়ে,নিসে,লইছিলাম
নিরাপত্তাহীন,insecure,বিশেষ্য,বিশেষণ,বিশেষ্য,ভয়ে থাহে  ,নিরাপত্তাহীন,নিরাপত্তা নাই,নিরাপত্তাহীন,নিছে
নির্দিষ্ট,specific,বিশেষণ,বিশেষণ,বিশেষণ,নির্দিষ্ট  ,খালি অখটা,নিদ্দিষ্ট,নির্দিষ্ট,নিরাপত্তাহীন
নির্বাচিত,Selected,বিশেষণ,বিশেষণ,বিশেষ্য,নির্বাচিত  ,নির্বাচিত,নির্বাচিত,নির্বাচিত,নির্দিষ্ট
নির্ভর,dependent,বিশেষ্য,বিশেষণ,বিশেষ্য,ভরসা কইরা  ,নির্ভর,নির্ভর,ভরসা ,নির্বাচিত
নির্ভরশীল,dependent,বিশেষ্য,বিশেষণ,বিশেষণ,হগলারে ভরসা কইরা  ,নির্ভরশীল,নির্ভরশীল,ভরসারাখা ,নির্ভর
নির্ভরশীলতা,dependency,বিশেষ্য,বিশেষ্য,বিশেষ্য,ভরসা কইরা থাকা  ,নির্ভরশীলতা,ভরসা রাইক্যু,ভরসারাখা ,নির্ভরশীল
নিলাম,took,ক্রিয়া,বিশেষ্য,বিশেষ্য,নিছি,গেছলাম,লইয়্যি,নিলাম,নির্ভরশীলতা
নিশেধ,forbidden,বিশেষ্য,বিশেষ্য,বিশেষ্য,নিষেধ,নিষেধ,নিশেধ,নিষেধ,লইসি
নিশ্চিত,sure,বিশেষ্য,বিশেষণ,বিশেষ্য,শিউর,শিওর,নিশ্চিত,নিশ্চিত,নিষেধ
নিশ্চয়তা,assurance,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঠিক,হদিস,নিচ্চয়তা,নিশ্চয়তা,নিশ্চিত
নিষেধ,forbidden,বিশেষ্য,বিশেষ্য,বিশেষ্য,মানা,নিষেদ,মানা,মানা,নিশ্চয়তা
নিষ্ঠুর,Cruel,বিশেষ্য,বিশেষণ,বিশেষ্য,কঠিন মনের  ,নিষ্ঠুর,নিষ্ঠুর,খারাপ ,নিষেধ
নিয়মিত,regular,বিশেষণ,বিশেষণ,বিশেষণ,পেরতেকদিন,নিয়মিত,নিয়মিত,নিয়মিত,পাষাণ
নিয়ে,with,অব্যয়,ক্রিয়া,বিশেষ্য,লইয়া,নিয়া,লই,লয়া,নিয়মিত
নিয়েই,with,অব্যয়,অব্যয়,বিশেষ্য,নিয়াই  ,নিয়য়াই,লই,লইয়াই,লই
নিয়েছে,Took,বিশেষ্য,ক্রিয়া,ক্রিয়া,নেছে,নিছইন,লইয়ে,নিসে,লইয়ে 
নিয়েছে,took,ক্রিয়া,ক্রিয়া,ক্রিয়া,নেছে,নিছে,লইয়ে,নিসে,লইসে
নীল,the blue,সর্বনাম,বিশেষণ,বিশেষ্য,নীল,নীল,নিল,নীল,নিসে
নীলে,in blue,অব্যয়,অব্যয়,বিশেষ্য,নীলে,নীলে,নিল অত,নীলে,নীল রঙের
নেই,no,সর্বনাম,ক্রিয়া,অব্যয়,না,নায়,নাই,নাই,নীলে
নেওয়ার,to take,ক্রিয়া,বিশেষ্য,বিশেষ্য,লওয়ার,লউয়ার,লইবর,নেওয়ার,নাই
নেওয়া,taken,ক্রিয়া,ক্রিয়া,ক্রিয়া,লওয়া,নেওয়া,লইল,নেওয়ন,নেয়ার
নেওয়ার,to take,ক্রিয়া,বিশেষ্য,ক্রিয়া,লইতে  ,নেওয়ার,নেইবার,লোওয়ার ,নেয়া
নেতারা,the leaders,সর্বনাম,বিশেষ্য,বিশেষ্য,নেতাগো  ,নেতাওকল,নেতা অক্কল,নেতারা ,নেওনের
নেতারাও,Leaders too,বিশেষ্য,বিশেষ্য,বিশেষ্য,নেতারাও  ,নেতাওকলও,নেতারাও,নেতারাও,নেতারা
নেতিবাচক,negative,বিশেষণ,বিশেষণ,বিশেষণ,খারাপভাবে,নেতিবাচক,নেতিবাচক,খারাপ,নেতারাও
নেন,took,ক্রিয়া,ক্রিয়া,ক্রিয়া,লন,লইন,লইয়ন,নেন,নেতিবাচক
নেব,will take,ক্রিয়া,ক্রিয়া,ক্রিয়া,নেবো  ,নিমু,লইয়ুম,লইমু,লন
নেবো তবুও,I'll take it anyway,সর্বনাম,ক্রিয়া,ক্রিয়া,নিমু,তেও নিমু,তবু লইয়ুম,নিব তবুও,নিবো 
নেভীতে,Navy,ক্রিয়া,বিশেষ্য,বিশেষ্য,নেবিতে,নেভীত,নেভীতে,নেভীতে,নিমু
নেমেছিল,went down,ক্রিয়া,ক্রিয়া,ক্রিয়া,নামছিল  ,নামছিলো,লাইম্মিল,মানছিল ,নেভীতে
নেশা,addiction,বিশেষ্য,বিশেষ্য,বিশেষ্য,নেশা,নেশা,নেশা,নেশা,নাইমসিলো
নেশায়,intoxicated,বিশেষ্য,অব্যয়,বিশেষ্য,আসক্ত,নেশা,নেশাত,নেশায়,নেশা
