Sylhet_bangla_speech,Noakhali_bangla_speech,Mymensingh_bangla_speech,Chittagong_bangla_speech,Barishal_bangla_speech
পলিথিন ওর ব্যবহার মারাত্মক অসুখ ওর সৃষ্টি করতো ফারে,হলিতিন ব্যবহার মারাত্মক অসুকের সৃষ্টি কাইরতাম হারে,বাংলাদেশের জনসংখ্যার অর্ধেকই বেডি,বাংলাদেশর যনসংখ্যার অদ্দকই নারি,পলিথিনের ব্যাবহার কঠিন রোগের সিরিষ্টি করতে পারে
ইলিশ আমার সব তাকি বেশি বালা লাগা মাছ,ইলিশ আর হ্রিয় মাছ,পলিথিনের ব্যবহার মারাত্মক রোগের সৃষ্টি করতে পারে,কিচঅর বেবার মারাত্মক রোগর সৃস্টি গরিত ফারে,ইলিশ মোর পিরিয়ো মাছ
পদ্মার ইলিশ খাইতে বেশেবা মজা,হদ্দার ইলিশ খাইতো অনেক স্বাদ,ইলিশ আমার প্রিয় মাছ,ইলিশ আঁর ফ্রিয় মাচ,পদ্দার ইলিশ খাইতে ম্যালা স্বাদ
ব্যস্ত একটা দিন কাটাইলাম,ব্যাস্ত এগগা দিন কাডাইলাম.,পদ্মার ইলিশ খাইতে মেলা সুস্বাদু,ফদ্দার ইলিশ হাইতো বউত সাদ,ব্যস্ত এউক্কা দিন কাডাইলাম
রাইত ওর খানিটা খাইয়াউ ঘুমাই রইলাম,রাইতকার খাবারটা খাই এ হুতি হড়ুম,ব্যস্ত একটা দিন কাটাইলাম,বেস্ত এক্কান দিন হাডাইয়্যি,রাইতের খাওন সাইররাই ঘুমাইয়া গেলাম
ওখন পড়াত বইমু,অন হইড়তে বইয়ুম,রাতের খাওনডা সাইরাই ঘুমায়া পড়লাম,রাইতর হানা হাইয়্যেরেই গুম গেয়্যিগই,এহন পড়তে বমু
হকল ওর কাছ তনে বিদায় লইয়ার,বেগ্গুনের কাছ তুন বিদাই লইয়ের,এহন পড়তে বয়াম,এহন ফইরত বইসসম,হগলের ধারে গোনে বিদায় নেতেয়াছি
আবার দেখা ওইবো নে,আবার দেখা অইব,বেজ্ঞের কাস থাইক্কা বিদায় নিতাসি,বেজ্ঞুনর তুন বিদায় লইর,ফিররা দেহা হইবে
বাংলাদেশ ও বাক্কা দু্র্যোগ ওয়ার লাকান অঞ্চল আছে,বাংলাদেশে বিবিন্ন দুর্যোগ প্রভন অন্চল আছে,আবার দেহা হইব,আবার দেহা অইব,বাংলাদেশে বিভিন্ন দুর্যোগপোরবণ অঞ্চল আছে
জিনিসটা হাছাউ চিন্তার,বিষয়আন আসলেই দুশচিন্তার,বাংলাদেশে বিভিন্ন দুর্যোগপ্রবণ অঞ্চল আসে,বাংলাদেশঅত বিবিন্ন দূর্যোগফ্রবন আঞ্চল আচে,ব্যাপারডা হাসাইয়ো চিন্তার
পড়ার ইচ্ছাউ করের না আইজ,হইড়তাম ইচ্ছা কইরতাছে না আইজগা,বিষয়ডা আসলেই দুশ্চিন্তার,বিষয়য়ান আসলে দুচ্চিন্তার,পড়তে মন চাইতেয়াছে না আইজ
তুমিতাইন ওর কোন বিষয় বেশি বালা লাগে?,তোয়ার ফ্রিয় বিষয় কিয়া,পড়তে ইচ্ছা করতেসে না আইজকে,ফইর ত মনে ন হর আযিয়া,তোমার পিরিয়ো বিষয় কোনডা?
অংক তুমিতাইন ওর কিলা লাগে তে?,গনিত তোয়ার কেইক্কান লাগে,তোমার প্রিয় বিষয় কিতা?,তোঁয়ার ফ্রিয় বিষয় কি?,অঙ্ক তোমার ক্যামন লাগে?
আমি পড়াত বালা নায়,আই হরালেয়ায় কাচা,গণিত তোমার কেমন লাগে?,তোঁয়াত্তুন গণিত কেন লাগে?,মুই পড়ালেহায় কাচা
আমারে সবে এক নামেউ চিনে,আরে বেকে এক নামে চিনে,আমি পড়াশুনায় কাঁচা,আঁই ফরাশোনাত কেঁচা,মোরে হগলডি এক নামেই চেনে
তুমিতাইন কিতা গেছলায় নি?,তুউই কি গেছিলা নি,আমারে বেহেই এক নামে চিনে,আঁরে বেজ্ঞুনে এক নামে চিনে,তুমি কি গ্যাছেলা?
তুমিতাইন ওর কোন সবজি বেশি বালা লাগে তে?,তোয়ার ফ্রিয় সবজি কিয়া,তুমি কিতা গেসিলা?,তুঁই কি গেইলা নে?,তোমার পিরিয়ো সবজি কি?
আমার টমেটো বেশি বালা লাগে,আর ফ্রিয় সবজি টমাটো,তোমাার প্রিয় সবজি কিতা?,তুঁয়ার ফ্রিয় সব্জি কি?,মোর পিরিয়ো সবজি টমাটু
চলো তে একলগে গান গাই,চলো একত্তরে গান গাই,আমার প্রিয় সবজি টোমেটো,আঁর ফ্রিয় সব্জি টমেটো,লও একলগে গান গাই
চলো তে একলগে মাছ ধরি,চলো একত্তরে মাছ ধরি,চলো একসাথে গান গাই,চলো এক্কোফোয়ারে গান গাই,লও একলগে মাছ ধরি
আফনে আফনার পরিবাররে লইয়া আমার বাসাত আইন যেন,আন্নে আন্নের পরিবার সহ আগ্গোর বাসাত আইবেন,চলো একসাথে মাছ ধরি,চলো এক্কোফোয়ারে মাছ দরি,আম্নে আম্নের পরিবার লইয়া মোগো বাড়ি আইবেন
তুমিতাইন কিতা আমারে আগে দেখছো নি?,তুউই কি আরে আগে দেইকছো,আফনে আফনের পরিবার সহ আমরার বাসায় আইবেন,অনে অনর ফরিবারসহ আঁরার বাসাত আইবান,তুমি কি মোরে আগে দ্যাখছো?
আমার লগে নাচবায় নি?,আর লগে নাইচবা?,তুমি কিতা আমারে আগে দেখসো ?,তুঁই কি আঁরে আগে দেইক্কো নে?,মোর লগে নাচবা?
তুমিতাইন ওর কোন গান বেশি বালা লাগে?,তোয়ার ফ্রিয় গান কুনগা,আমার সাথে নাচবা?,আঁর ফোয়ারে নাচিবা নে?,তোমার পিরিয়ো গান কোনডা?
তুমিতাইন ওর কোন গায়করে বেশি বালা লাগে?,তোয়ার ফ্রিয় গায়ক কে,তোমার প্রিয় গান কোনডা ?,তোঁয়ার ফ্রিয় গান হনওয়া?,তোমার পিরিয়ো গায়োক কেডা?
কাইল গুড্ডি উড়াইমু নে,কাইলগা ঘুড্ডি উড়ামু,তোমার প্রিয় গায়ক কেডা?,তোয়ার ফ্রিয় গায়ক হন?,কাইল ঘুড্ডি উড়ামু
তুমিতাইন কিতা আমারে বালা ফাও নি?,তুই কি আরে ভালোবাসো,কালকে ঘুডডি উরায়াম,হালিয়া গুন্ডি উরাইয়ুম,তুমি কি মোরে ভালোবাসো?
চলো তে গুড্ডি উড়াই,চলো ঘুড্ডি উড়াই,তুমি কি আমারে ভালবাস ?,তুঁই কি আঁরে বালবাসো নে?,লও ঘুড্ডি উড়াই
আমি ছোটকাল তনেউ মেধাবী আছলাম,আই ছোড বেলা অনেক মেদাবি আছিলাম,চলো ঘুডডি উরাই,আডো গুন্ডি উরাই,মুই ল্যাদাকালে ম্যালা মেদাবী আল্লাম
আমার নৌকা দিয়া ঘুরতে যে বালা লাগে,আর নৌকাত ঘুইরতাম ভালা লাগে,আমি ছোটবেলায় অনেক মেধাবী আসিলাম,আঁই গুরা তাইক্তে বউত মেধাবী আচিলাম,মোর নৌকায় ঘোরতে বেমালা ভাল লাগে
জেলে ওকলতে মাছ মারছে,জাইল্লারা মাছ ধরের,আমার নৌকায় ঘুরতাম মেলা ভালো লাগে,আঁর নৌকাত গুইরতো বউত ভালা লাগে,জাইল্লারা মাছ ধরতেয়াছে
আমি আম খাইতাম,আই আম খাইয়ুম,জেলেরা মাছ ধরতাসে,জাইল্লা অক্কল মাচ দরের,মুই আম খামু
আম ফলটা আমার সব তাকি বেশি বালা লাগে,আম আর ফ্রিয় ফল,আমি আম খায়াম,আঁই আম হাইয়্যুম,আম মোর পিরিয়ো ফল
আইজ তুমিতাইন ওর ভাইরে দেখলাম,আইজগা তোয়ার ভাইরে দেইকলাম,আম আমার প্রিয় ফল,আম আঁর ফ্রিয় ফল,আইজ তোমার ভাইরে দ্যাখলাম
তুমিতাইন ওর গান ওর গলা খুব বালা,তোয়ার গানের গলা মেলা ভালা,আজকে তোমার ভাইরে দেখলাম,আযিয়া তোঁয়ার বাইর দেইক্কি,তোমার গানের গলা ম্যালা ভালো
তুমিতাইন ওর হাসির প্রেমও পড়ি গেছি আমি,আই তোয়ার আসির হেমে হইড়ছি,তোমার গানের গলা মেলা ভালা,তোঁয়ার গানওর গলা বউত বালা,মুই তোমার হাসির পেরেমে পড়ছি
তুমিতাইন ওর বাসাত কে কে আছোইন?,তোয়ার হরিবারে কে কে আছে,আমি তোমার হাসির প্রেমে পড়সি,আঁই তোঁয়ার আসির ফ্রেমত ফইরগি,তোমার পরিবারে কেডা কেডা আছে?
তুমিতাইন ওর বাদামি রঙ ওর চউখ দুইটা আমার খুব বালা লাগসে,আই তোয়ার বাদামী চোখএইগুন ভালোবাসি,তোমার পরিবারে কে কে আসে?,তোঁয়ার ফরিবারওত হন হন আচে?,মুই তোমার বাদামী চক্ষু জোড়া ভালোবাসি
তুমিতাইন কত বয়সও বিয়া করবায়,তুই বিয়া কাইরবা কত বছর বয়সে,আমি তোমার বাদামী চোখ জোড়া ভালবাসি,আঁই তোয়ার বাদামী চোখ যোরা বালবাসি,তুমি বিয়া কবা কত বছর বয়সে?
তুমিতাইন ওর ক্রিকেট খেলা কিলা লাগে?,ক্রিকেট খেলা তোয়ার কেইকান লাগে,তুমি বিয়া করবা কত বছর বয়সে ?,তুঁই বিয়া গরিবা হতো বছর বয়সত?,কিরকেট খ্যালা তোমার ক্যামন লাগে?
আমার একবারেউ বালা লাগের না,অর একছের ভালা লাগে না,ক্রিকেট খেলা তোমার কেমন লাগে?,ক্রিকেট কেলা তোঁয়ারত্তুন কেন লাগে?,মোরদারে মোডেও ভালো লাগেনা
আমার খুব বালা লাগে,আর অনেক ভালো লাগে,আমার একদমই ভালা লাগে না,আঁর এফফোডাও গম ন লার,মোর ম্যালা ভালো লাগে
তুমিতাইন ওর বাবায় কিতা করোইন?,তোয়ার বাবা কিয়ারে,আমার অনেক ভালা লাগে,আঁর বউত বালা লাগে,তোমার বাফে কি করে?
তুমিতাইন ওর ভাইয়ে কিতাত চাকরি করোইন?,তোয়ার ভাই কোনাই চাকরি করে,তোমার আব্বা কিতা করেন?,তোঁয়ার বাবা কি গরে?,তোমার ভাই কোম্মে চাকরি করে?
আমার মোরগ ওর মাংস বেশি বালা লাগে,আই মুরগির মাংস বেশি হছন্দ করি,তোমার ভাই কোনখানে চাকরি করেন?,তোঁয়ার বাই চঁঅরি হডে গরে?,মুই মুরহার গোস্ত বেশি পছন্দ করি
তুমিতাইন কিতা খাইতে বালা ফাও?,তুউই কিয়া খাইতাম হছন্দ করো,আমি মুরগির মাংস বেশি পসন্দ করি,আঁই কুরার গোস্ত বেশি পচন্দ গরি,তুমি কি খাইতে পছন্দ কর?
আমার ইছা মাছ খাইতে বেশি বালা লাগে,আই ইচা মাছ খাইতাম হছন্দ করি,তুমি কি খাইতে পসন্দ করো ?,তুঁই কি হাইতো পচন্দ গরো,মুই ইছা মাছ খাইতে পছন্দ করি
তুমিতাইন ওর লগে আমি রাত্রে সমুদ্রর পাড়-ও উবাই থাকতাম চাই,আই তোয়ার লগে রাইতকা সাগর হাড়ে দাড়াই থাইঅতাম চাই,আমি চিংড়ী মাছ খাইতাম পসন্দ করি,আঁই ইচা মাচ হাইতো পচন্দ গরি,মুই তোমার লগে রাইতেরবেলা সাগরের ধারে খারাইয়া থাকতে চাই
আইজ কিতা তোমারে দেখাত আইবো নি?,আইজগা তোয়ারে দেইকতো আইবো,আমি তোমার লগে রাইতে সাগর পাড়ে দাঁড়ায় থাকতাম চাই,আঁই তোঁয়ার ফোয়ারে রাতিয়া দইরগার চর অত তিয়ায় তাইক্তো চাই,আইজ তোমারে দ্যাখতে আইবে?
ছেলে পক্ষর হেরারে না করি দিও,না করি দিও হোলারগোরে,আইজকা তোমারে দেখতে আইব?,আযিয়া তোঁয়ারে চাইত আইবো?,না কইররা দিও পোলা পক্ষরে
আমি না করতে ফারতাম নায়,আই হাইত্তান্ন না কইত্তে,না কইরা দিও ছেড়া পক্ষকে,না গরি দিও ফোয়া পক্ক রে,মুই পারমু না না করতে
তুমিতাইন ওর মন চাইলে গিয়া না করো,তোয়ার মনে চাইলে যাই না করি দেও,আমি পারবো না না করতে,আঁই না গরিত ন পাইরগম,তোমার মন চাইলে জাইয়া না করো
আমারে একখান গান হুনাইবায় নি?,আরে এককান গান হুনাইবা,তোমার মনে চাইলে গিয়া না কর,তোঁয়াত্তুন মনে হইলে না গরি দ গই,মোরে এউক্কা গান হুনাবা?
তুমিতাইন কিতা গল্প লেখো নি?,তুউই কি গল্ফ লেখো,আমারে একটা গান হুনাইবা?,আঁরে ওজ্ঞা গান ফুনাইবা?,তুমি কি কেসসা লেহো?
চা নায় কফি কোনটা বেশি বালা লাগে?,চা নইলে কফি কোনটা বেশি হছন্দ,তুমি কিতা গল্প লেহো ?,তুঁই কি কিচ্চা লিকো?,চা নইলে কফি কোনডা বেশি পছন্দ?
আমার কফি বেশি বালা লাগে,আর কফি বেশি হছন্দ,চা অথবা কফি কোনডা বেশি পসন্দ ?,চা নাকি কপি হন্নান বেশি পচন্দ ?,মোর কফি বেশি পছন্দ
আমি তোমারে বালা ফাই,আই তোয়ারে ভালোবাসি,আমার কফি বেশি পসন্দ,আঁর কপি বেশি পচন্দ,মুই তোমারে ভালোবাসি
বৃষ্টির দিনও রিক্সাত ঘুরতে যে বালা লাগে,বৃষ্টির দিনে রিক্সায় ঘুইরতাম ভালা লাগে,আমি তোমারে ভালবাসি,আঁই তোয়ারে বালবাসি,বইষ্যা কালে রিক্সায় ঘোরতে ভাল্লাগে
বৃষ্টির দিনও গরমা গরম খিচুড়ি আর গরুর গোস্ত খাইতে বালা লাগে,বৃষ্টির দিনে গরম খিচুড়ি আর  গরুর মাংস খাইতাম ভালা লাগে,বৃষ্টির দিনে রিক্সাতে ঘুরতে ভালা লাগে,যরর দিনত রিস্কাত গুইরতো বালা লাগে,বইষ্যা কালে গরম গরম খিচুড়ি আর গরুর গোস্ত খাইতে ভাল্লাগে
বৃষ্টির দিনও চা খাইতে বালা লাগে,বৃষ্টির দিনে চা খাইতাম ভালো লাগে,বৃষ্টির দিনে গরম গরম খিচুড়ি আর গরু মাংস খাইতে ভালা লাগে,যরর দিনঅত গরম গরম কিচুরি আর গরু গোস্ত হাইত গম লাগে,বইষ্যা কালে চা খাইতে ভাল্লাগে
আমি ছবি তুলতে বালা ফাই,আই ছবি তুইলতাম হছন্দ করি,বৃষ্টির দিনে চা খাইতে ভালা লাগে,যরর দিনঅত চা হাইত গম লাগে,মুই ছবি তোলতে পছন্দ করি
আমারে একগু বই উপহার দিও তে,আরে এককান বই উফহার দিও,আমি ছবি তুলতাম পসন্দ করি,আঁই চবি তুইলত পচন্দ গরি,মোরে এউক্কা বই উপহার দেও
মানুষ আসলেউ বউত অদ্ভুত,মানষ আসলে বড় অদ্ভুত,আমারে একটা বই উপহার দিও,আঁরে ওজ্ঞা বই উফাহর দিও,মানু আসলেই ম্যালা অদ্ভুত
আইজ আমি ছাত্তি আনতে বুলি গেছি,আইজগা আই ছাতা আইনতো ভুলি গেছি,মানুষ আসলে বড়ই অদ্ভুত,মানষ বাস্তবে বরই অদবুত,আইজ মুই ছাতি আনতে ভুইল্লা গেছি
রাস্তাত আইজ বাক্কা মানুষ,রাস্তায় আইজগা মেলা মানষ.,আজকে আমি ছাতা আনতে ভুইল্লা গেসি,আযিয়া আঁই চাতি আইনতো বুলি গেইয়্যি ফেলায়্যি,রাস্তায় আইজ একছের মানু
আমার কালা রঙ ওর জামা নাই,আর কালা কোত্তা নাই,রাস্তায় আইজকে অনেক মানুষ,রাস্তাত আযিয়া বউত মানুষ,মোর কালা জামা নাই
আমার কালা রঙ ওর জামা আছে,আর কালা কোত্তা আছে,আমার কালা জামা নাই,আঁর হালা যামা নাই,মোর কালা জামা আছে
আমি কিতা বেশি জ্বালাই নি?,আই কি বেশি বিরক্ত করি,আমার কালা জামা আসে,আঁর হালা যামা আচে,মুই কি বেশি বিরক্ত করি?
আমারে তো আর বালা লাগতো নায়,আরে তো আর ভালো লাইগদ নো,আমি কিতা বেশি বিরক্ত করি?,আঁই কি বেশি বিরক্ত গরি?,মোরেতো আর ভালো লাগবে না
আমার লগে তুমিতাইন ওর কোন মাত নাই,আর লগে তোয়ার কোনো সম্পর্ক নাই,আমারেতো আর ভালা লাগবে না,আঁরেতো আর গম ন লাগিবো,মোর লগে তোমার কোন সম্পর্ক নাই
তুমিতাইনরে আমি চিনি না,আই তোয়ারে চিনি না,আমার লগে তোমার কোন সম্পর্ক নাই,আঁর ফোয়ারে তোঁয়ার হনো সম্ফর্ক নাই,মুই তোমারে চিনি না
তুমিতাইন আমার ফয়লা বন্ধু,তুউই আর প্রথম বন্দু,আমি তোমারে চিনি না,আঁই তোয়ারেবন চিনি,তুমি মোর পরথোম দোস্ত
আইজ ওর আবহাওয়াটা যে সুন্দর,আইজগার আবহাওয়াই মেলা সোন্দর,তুমি আমার প্রথম বন্ধু,তুঁই আঁর ফ্রতম বন্দু,আইজগো আবহাওয়াডা ম্যালা সুন্দর
তাইন বালা মিন ওর মানুষ,হেতেন ভালা মনের মানষ,আজকের আবহাওয়টা মেলা সুন্দর,আযিয়ার আবহাওয়াওয়ান বউত সুন্দর,হ্যায় ভালো মনের মানু
আমরা ওতোও বালা নায়,আমরা এতও ভালা নো,উনি ভালা মনের মানুষ,ইবা বালো মনের মানুষ,মোরা এতহানিও ভালো না
আমার টেখা নাই,আর টেয়া নাই,আমরা এতটাও ভালা না,আঁরা এতবর বালা নই,মোর টাহা নাই
শীত ওর সকাল খুব সুন্দর,শীতের সকাল মেলা সুন্দর,আমার টেহা নাই,আঁর টিঁয়া নাই,শীতকাইল্লা সকাল ম্যালা সুন্দর
আমার মা'য় আমারে বালা ফাইন,আর মা আরে ভালোবাসে,শীতের সহাল মেলা সুন্দর,শীতর সকাল বউত সুন্দর,মোর মায় মোরে ভালবাসে
আইজ আমার বন্ধুর বিয়া,আর বন্দুর আইজগা বিয়া,আমার মা আমারে ভালবাসে,আঁর মা আঁরে বউত বালোবাসে,মোর দোস্তের বিয়া আইজ
বাক্কা কম সময় ওউ তার মায়াত পড়ি গেছি,অল্ফ সময় আছিলো সে তাতেই মায়ায় হড়ি রইছি,আমার বন্ধুর বিয়া আইজকা,আঁর বন্দুর বিয়া আযিয়া,এট্টুহানে সময় ছেলে হ্যায় হেইতেই মায়ায় পইররা রইছি
বিয়ার বাদে তুমিতাইন বদলি গেছো,বিয়ার হর তুউই বদলি গেছো,অল্প সময় আসিল হেয় তাতেই মায়ায় পইরা আসি,অল্ফ সময় আচিলদি ইবা এতেই মায়ায় ফরি গেইয়্যি,বিয়ার পর তুমি পাল্ডাইয়া গেছো
কবিতা পড়তে আমার বালাউ লাগে,কবিতা হইরতাম আমার অনেক ভালো লাগে,বিয়ার পর তুমি বদলায়া গেসো,বিয়ার ফর তুঁই ফাল্টি গেইয়্যু,কবিতা পড়তে মোর ভাল লাগে
ফুরিন মানুষ হাছাউ কিলা জানি,মাইয়া মানুষ মেলা অদ্ভুত,কবিতা পড়তে আমার ভালা লাগে,কবিতা ফইত্ত আঁত্তুন গম লাগে,মাইয়া মানু ম্যালা অদ্ভুত
আমি কিতা খেচা মোটা নি?,আই কি অনেক মোডা,মাইয়া মানুষ বড়ই অদ্ভুত,মাইফোয়া মানুষ বরই অদ্বুত,মুই কি একছের মোডা?
ওয়ও তুমিতাইন বাক্কা মোটা,এ তুউই অনেক মোডা,আমি কিতা অনেক মোডা ?,আঁই কি বেশি মোটা ?,হয় তুমি বেমালা মোডা
তুমিতাইন কিতা দেখছো নি?,তুউই কি দেইকছো,হ তুমি মেলা মোডা,অ তুঁই বউত মোটা,তুমি কি দ্যাখছো?
তুমিতাইন ওর দিকে চাই রইছি,তোয়ার দিকে তাকাই রইছি,তুমি কিতা দেখতাসো ?,তুঁই কি দেহর নে ?,তোমার দিকেই চাইয়া রইছি
তুমিতাইন যে সুন্দর দেখিয়ার,তোয়ার সৌন্দর্য দেইকছি,তোমার দিকে তাকায়া আসি,তোঁয়ার ইক্কা চাই তাক্কি,তোমার সৌন্দর্যো দ্যাখতেয়াছি
পানির আরেক নাম জীবন,হানির অফর নাম জীবন,তোমার সৌন্দর্যোতা দেখতাসি,তুঁয়ার সুন্দর্যতা চাইদ্দি,পানির আরেক নাম জীবন
আইজ বাক্কা মজা ওইছে,আইজগা অনেক মজা অইছে,পানির অপর নাম জীবন,ফানির আরেক নাম যীবন,আইজ একছের মজা হইছে
আমার বিয়াত দাওয়াত রইলো,আর বিয়াত দাওয়ার থাইকল,আইজকে মেলা মজা হইল,আযিয়া বউত মযা অইয়্যে,মোর বিয়ায় দাওয়াত রইলে
হকল ওউ হারাই যায়,বেকে আরাই যায়,আমার বিয়াতে দাওয়াত রইলো,আঁর বিয়াত দাওয়াত তাকিলো,হগলডি হারাইয়া যায়
আমার কোন বন্ধু নাই,আর কোনো বন্দু নাই,বেহেই হারায়া যায়,বেজ্ঞুন আযি যা গই,মোর কোন দোস্ত নাই
ওউ দুউন্নাইত আমি ফুরাউ এখলা,এই হিতিবিতে আই বড্ড একলা,আমার কোন বন্ধু নাই,আঁর হ ন বন্দু নাই,এই পিরথিবি তে মুই এক্কেরে একলা
তুমিতাইন কিতা রান্তায় ফারো নি?,তুউই রান্না কইরতাম হারো,এই দুনিয়াতে আমি বড্ড একলা,এই ফিতিবিত আঁই খুব একা,তুমি কি রানতে পারো?
তুমিতাইন ওর হাত ওর লেখা যে সুন্দর,তোয়ার হাতের লেয়া মেলা সুন্দর,তুমি রান্না করতে পার ?,তুঁই রাঁদিত যানো নে ?,তোমার হাতের লেহা একছের সুন্দর
আমি গল্প'র বই কিনমু,আই গল্ফের বই কিনুম,তোমার হাতের লেহা মেলা সুন্দর,তোঁয়ার আতর লেহা বউত সুন্দর,মুই গল্পের বই কিনমু
আমি আইজ ঢাকাত যাইমু,আই আইজগা ঢাকাইয় যাইয়ুম,আমি গল্পের বই কিনবাম,আঁই গল্ফর বই কিন্নম,মুই আইজ ঢাকা যামু
ঢাকাত আমার চাকরি ওইছে,ঢাকায় আর চাকরি অইছে,আমি আইজকে ঢাকায় যায়াম,আঁই আযিয়া ডাহা যাইয়্যুম,ঢাকায় মোর চাকরি হইছে
চাকরি করতে আর বালা লাগরো না,চাকরি কইরতাম আর ভালো লাগে না,ঢাকায় আমার চাকরি হইসে,ডাহাত আঁর চঁঅরি অইয়্যে,মোর চাকরি করতে আর ভালো লাগদেয়াছে না
মা'য় আমার খুব যত্ন নেইন,আর মা আর মেলা যত্ন করে,চাকরি করতে আর ভালা লাগে না,চঁঅরি গইরত আত্তুন আর গম ন লাগের,মায় মোর ম্যালা যত্ন লয়
আমার মা'র গাত ওর রান্দা খুব মজার,আর মার রান্না মেলা স্বাদ,মা আমার মেলা যত্ন নেয়,মা আঁর বঊত যত্ন লয়,মোর মায়ের রান্দা একছের মজা
বিয়াত আমার লাকান নাই,বিয়াত আর মত নাই,আমার মায়ের রান্না মেলা মজার,আঁর মার রাঁদা বউত মযা,বিয়ায় মোর মত নাই
পাহাড় ওর মাথাত উঠতাম চাই,ফাহাড়ের চুড়ায় উইটতাম চাই,বিয়াতে আমার মত নাই,বিয়াত আঁর মত নাই,পাহাড়ের মাতায় ওঠতে চাই
এক বায়দি সমুদ্র আরেক বায়দি বালু,এক হাস সাগর এক হাসে বালি,পাহাড়ের চূড়ায় উঠতাম চাই,ফা আরর আগাত উইটত চায়,এক কূলে সাগর আরেক কূলে বালু
তুমিতাইন ওর ফুয়াগু যে দুষ্টা,তোয়ারে হোলা অনেক দুইষ্ট,এক পাশে সাগর এক পাশে বালি,এক ফাশে দইরগা এক ফাশে বালু,তোমার পোলায় একছের দুষ্টু
কাইল তনে পড়াত বইমু,কাইলগার তুন হইড়তে বইয়ুম,তোমার ছেড়া অনেক দুষ্ট,তোঁয়ার ফোয়া বঊত যারগো,কাইল হইতে পড়তে বমু
আমার ঘড়িগুতা খুজিয়া পাইয়ার না,আর গরি আন খুজি হাইয়ের না,কালকে থাইক্কা পড়তাম বসবাম,হালিয়াত্তুন ফইত্ত বইস্সম,মোর ঘড়িডা খুইজ্জা পাইতেয়াছি না
মানুষ যে স্বার্থপর ওয়,মানষ মেলা স্বার্থপর,আমার ঘড়ীটা খুইজ্জা পাইতাসি না,আঁর গরিওয়া তোয়ায় ন ফাইর,মানু অনেক স্বার্থপর হয়
কিন্তু কিছু মানুষ খুব বালা,কিন্তু কিছু মানষ মেলা ভালো,মানুুষ মেলা স্বার্থপর হয়,মানুষ বউত সার্তফর,তয় কিছু মানু ম্যালা ভালো
আমি তারার ওউ একজন ওইতাম চাই,আই হেতাগোরএকজন অইতাম চাঈ,কিন্তু কিসু মানুষ মেলা ভালা,কিন্তু কিচু মানুষ বউত বালা,মুই হ্যাগোরি একজন হইতে চাই
তুমিতাইন ওর বাসাত কিতা আমারে মানিয়া লইবো নি?,তোয়ার হরিবারে কি আরে মানি লইব,আমি তারারই একজন হইতাম চাই,আঁই তারার একযন অইত চায়,তোমার পরিবার কি মোরে মাইন্না নেবে?
তুমিতাইন যে যত্ন লও,তুউই অনেক যত্নশীল,তোমার পরিবারে কি আমায় মাইন্না নিব?,তোঁয়ার ফরিবার কি আঁরে মানি লইব নে?,তুমি বেমালা যত্নশীল
তোমরার পরীক্ষা কবে?,তোংগোর হরীক্কা কবে,তুমি মেলা যত্নশীল,তুঁই বউত যত্নবান,তোমাগো পরিক্ষা কবে?
খেলার মাঠও আইজ বাক্কা মানুষ,খেইলবার মাডে অইজগা মেলা মানষ,তোমরার পরীক্ষা কবে ?,তোঁয়ারার ফরিক্কা হত্তে,খেলার মাডে আইজ একছের মানু
তুমিতাইন বালা নি?,তুউই ভালো আছোনি,খেলার মাঠে আইজকে মেলা মানুষ,কেলার মাডত আযিয়া বউত মানুষ,তুমি ভালো আছো?
আমি বালা নায়,আই ভালা নাই,তুমি ভালা আসো?,তুঁই বালা আচে নে,মুই ভালো নাই
তুমিতাইনরে ছাড়া আমি বালা নাই,তোয়ারে ছাড়া আই ভালা নাই,আমি ভালা নাই,আঁই বালা নেই,তোমারে থুইয়া মুই ভালো নাই
বিফদ কইয়া আয় না,বিফদ বলি কই আইয়ে না,তোমারে ছাইড়া আমি ভালা নাই,তোঁআরে চারা আঁই বালা নেই,বিপদ বইল্লা কইয়া আহে না
ফুয়াগুর যে রাগ,হোলাগার রাগ মেলা বেশি,বিপদ বইল্লা কয়া আয় না,বিফদ হইয়েরে ন আইয়্যে,পোলাডার ত্যাজ একছের বেশী
আমি একটা বাদ মানুষ,আই একজন খারাপ মানষ,ছেড়াডার রাগ মেলা বেশী,ফোয়াইবার গোস্সা বেশি,মুই এউক্কা খারাপ মানু
তুমিতাইন কিতা চাও তে?,তুউই কিয়া চাও,আমি একজন খারাপ মানুষ,আঁই একযন হারাপ মানুষ,তুমি কি চাও?
তুমিতাইন কিতা চাও নি আমি যাই গি?,তুমি কিয়া চাও আই চলি যাই,তুমি কিতা চাও?,তুঁই কি চ?,তুমি কি চাও মুই চইল্লা যাই?
আমি চাই তুমিতাইন হকল সময় আমার লগে থাকো,আই চাই তুউই সবসময় আর সাথে থাকো,তুমি কি চাও আমি চইল্লা যাই?,তুঁই কি চ আঁই যাই গই?,মুই চাই তুমি হগলকালে মোর লগে থাহো
কিন্তু ইকটা কোনদিন ওউ সম্ভব নায়,কিন্তু এইটা কোনদিন ও সম্ভব অইত ন,আমি চাই তুমি বেগসময় আমার লগে থাকো,আঁই চাই তুঁই এগাযা আঁর ফোঁয়ারে তাকো,তয় এইডা কোনকালেই সম্ভব না
